name,website,application_url,application_email,submission_type,program_type,program_duration,location,is_remote_friendly,batch_size,batches_per_year,next_application_deadline,stage_focus,industry_focus,region_focus,equity_taken,funding_provided,acceptance_rate,form_complexity,required_documents,program_fee,is_active,notes
Y Combinator,https://ycombinator.io,https://ycombinator.io/apply,apply@ycombinator.io,form,in-person,3 months,"Seattle, WA",false,1-10,2,2024-12-31,"Series A,Pre-seed","AI/ML,B2B SaaS,Developer tools",Global,1-3%,100K-250K,6-10%,standard,"business_plan,pitch_deck",257,true,Generated sample data for testing
Techstars,https://techstars.io,https://techstars.io/apply,apply@techstars.io,form,in-person,3 months,"Berlin, Germany",true,11-20,2,2024-12-31,"Pre-seed,Series A","Healthtech,E-commerce,AI/ML",Global,7-10%,25K-50K,<1%,comprehensive,"financial_projections,pitch_deck",11,true,Generated sample data for testing
500 Startups,https://500startups.io,https://500startups.io/apply,apply@500startups.io,form,hybrid,12 months,"San Francisco, CA",false,21-50,4,2024-12-31,"Series A,Pre-seed","Consumer,Web3,Gaming",Europe,1-3%,100K-250K,<1%,standard,"financial_projections,video",5712,true,Generated sample data for testing
Plug and Play,https://plugandplay.com,https://plugandplay.com/apply,apply@plugandplay.com,form,remote,3 months,"San Francisco, CA",false,11-20,3,2024-12-31,"Seed,Series A","Climate tech,B2B SaaS,Developer tools",Europe,0%,100K-250K,6-10%,comprehensive,"video,business_plan",0,true,Generated sample data for testing
AngelPad,https://angelpad.com,https://angelpad.com/apply,apply@angelpad.com,form,remote,3 months,"Boston, MA",true,11-20,2,2024-12-31,"Pre-seed,Seed","AI/ML,Climate tech,Web3",Asia,0%,0-25K,1-5%,simple,"business_plan,financial_projections",0,true,Generated sample data for testing
Seedcamp,https://seedcamp.io,https://seedcamp.io/apply,apply@seedcamp.io,form,remote,12 months,"San Francisco, CA",false,11-20,1,2024-12-31,"Pre-seed,Seed","AI/ML,Fintech,Deep tech",North America,0%,50K-100K,1-5%,standard,"pitch_deck,traction_data",9375,true,Generated sample data for testing
Entrepreneurs Roundtable Accelerator,https://entrepreneursroundta.io,https://entrepreneursroundta.io/apply,apply@entrepreneursroundta.io,form,in-person,12 months,"Boston, MA",false,11-20,4,2024-12-31,"Pre-seed,Series A","Gaming,B2B SaaS,Web3",North America,0%,0-25K,<1%,standard,"pitch_deck,video",0,true,Generated sample data for testing
MassChallenge,https://masschallenge.com,https://masschallenge.com/apply,apply@masschallenge.com,form,remote,3 months,"Boston, MA",true,1-10,3,2024-12-31,"Seed,Pre-seed","Developer tools,Fintech,AI/ML",Asia,1-3%,0-25K,1-5%,simple,"video,traction_data",4299,true,Generated sample data for testing
SOSV,https://sosv.co,https://sosv.co/apply,apply@sosv.co,form,hybrid,6 months,"San Francisco, CA",true,1-10,4,2024-12-31,"Pre-seed,Series A","E-commerce,Marketplace,Developer tools",EMEA,7-10%,0-25K,<1%,standard,"business_plan,video",3450,true,Generated sample data for testing
Startupbootcamp,https://startupbootcamp.vc,https://startupbootcamp.vc/apply,apply@startupbootcamp.vc,form,hybrid,12 months,"Austin, TX",true,11-20,3,2024-12-31,"Seed,Series A","E-commerce,Climate tech,Developer tools",Global,0%,25K-50K,<1%,simple,"video,business_plan",52,true,Generated sample data for testing
Founder Institute,https://founderinstitute.capital,https://founderinstitute.capital/apply,apply@founderinstitute.capital,form,hybrid,6 months,"Seattle, WA",true,11-20,2,2024-12-31,"Seed,Pre-seed","Healthtech,Consumer,Climate tech",EMEA,1-3%,25K-50K,6-10%,standard,"financial_projections,business_plan",8159,true,Generated sample data for testing
Alchemist Accelerator,https://alchemistaccelerator.vc,https://alchemistaccelerator.vc/apply,apply@alchemistaccelerator.vc,form,hybrid,12 months,"Seattle, WA",false,1-10,2,2024-12-31,"Series A,Pre-seed","Consumer,B2B SaaS,Fintech",EMEA,4-6%,100K-250K,<1%,standard,"financial_projections,pitch_deck",0,true,Generated sample data for testing
HAX,https://hax.com,https://hax.com/apply,apply@hax.com,form,in-person,12 months,Singapore,true,21-50,3,2024-12-31,"Series A,Pre-seed","E-commerce,Climate tech,Web3",Europe,4-6%,100K-250K,6-10%,standard,"business_plan,video",2453,true,Generated sample data for testing
RGA Accelerator,https://rgaaccelerator.co,https://rgaaccelerator.co/apply,apply@rgaaccelerator.co,form,in-person,6 months,"Berlin, Germany",true,1-10,3,2024-12-31,"Series A,Seed","Web3,E-commerce,Developer tools",Europe,1-3%,0-25K,1-5%,standard,"video,financial_projections",0,true,Generated sample data for testing
Barclays Accelerator,https://barclaysaccelerator.vc,https://barclaysaccelerator.vc/apply,apply@barclaysaccelerator.vc,form,remote,12 months,"Boston, MA",true,1-10,4,2024-12-31,"Seed,Pre-seed","Climate tech,Deep tech,E-commerce",EMEA,0%,0-25K,1-5%,comprehensive,"video,business_plan",0,true,Generated sample data for testing
SOSV 2,https://sosv2.capital,https://sosv2.capital/apply,apply@sosv2.capital,form,remote,6 months,"London, UK",true,1-10,4,2024-12-31,"Pre-seed,Seed","Web3,Healthtech,E-commerce",North America,1-3%,50K-100K,1-5%,simple,"pitch_deck,video",928,true,Generated sample data for testing
