name,website,application_url,application_email,submission_type,stage_focus,industry_focus,region_focus,form_complexity,question_count_range,required_documents,notes
Sequoia Capital,https://sequoiacapital.co,https://sequoiacapital.co/apply,,other,"Series B,Seed","AI/ML,Gaming,Consumer","EMEA,Europe",simple,11-20,"traction_data,pitch_deck",Generated sample data for testing
Andreessen Horowitz,https://andreessenhorowitz.capital,https://andreessenhorowitz.capital/apply,,other,"Pre-seed,Series B","Healthtech,Developer tools,B2B SaaS","North America,Europe",simple,11-20,"traction_data,video",
Kleiner Perkins,https://kleinerperkins.capital,https://kleinerperkins.capital/apply,,form,"Series A,Series B","B2B SaaS,Marketplace,Web3","Europe,Asia",simple,11-20,"financial_projections,video",
Accel Partners,https://accelpartners.com,https://accelpartners.com/apply,,email,"Series A,Series B","AI/ML,B2B SaaS,Gaming","Europe,Global",comprehensive,6-10,"financial_projections,video",Generated sample data for testing
Benchmark Capital,https://benchmarkcapital.vc,https://benchmarkcapital.vc/apply,,email,"Series B,Pre-seed","Climate tech,Gaming,B2B SaaS","Europe,North America",comprehensive,6-10,"pitch_deck,video",Generated sample data for testing
Greylock Partners,https://greylockpartners.com,https://greylockpartners.com/apply,apply@greylockpartners.com,email,"Series B,Series A","B2B SaaS,Consumer,Fintech","EMEA,Europe",standard,21+,"legal_documents,video",Generated sample data for testing
First Round Capital,https://firstroundcapital.com,https://firstroundcapital.com/apply,,form,"Series B,Pre-seed","Fintech,B2B SaaS,AI/ML","Asia,Europe",comprehensive,21+,"pitch_deck,video",Generated sample data for testing
Union Square Ventures,https://unionsquareventures.com,https://unionsquareventures.com/apply,,form,"Seed,Pre-seed","Developer tools,B2B SaaS,E-commerce","North America,Global",standard,11-20,"financial_projections,pitch_deck",Generated sample data for testing
Bessemer Venture Partners,https://bessemerventurepartn.vc,https://bessemerventurepartn.vc/apply,apply@bessemerventurepartn.vc,other,"Seed,Series B","Consumer,Fintech,E-commerce","North America,Asia",standard,21+,"traction_data,financial_projections",Generated sample data for testing
New Enterprise Associates,https://newenterpriseassocia.capital,https://newenterpriseassocia.capital/apply,apply@newenterpriseassocia.capital,other,"Series A,Pre-seed","Fintech,Deep tech,Consumer","Europe,North America",simple,1-5,"video,legal_documents",Generated sample data for testing
General Catalyst,https://generalcatalyst.capital,https://generalcatalyst.capital/apply,apply@generalcatalyst.capital,form,"Pre-seed,Seed","AI/ML,Consumer,Fintech","EMEA,Asia",standard,11-20,"financial_projections,legal_documents",Generated sample data for testing
Lightspeed Venture Partners,https://lightspeedventurepar.co,https://lightspeedventurepar.co/apply,,other,"Series C,Seed","Gaming,B2B SaaS,Developer tools","Asia,Europe",comprehensive,1-5,"video,business_plan",Generated sample data for testing
Index Ventures,https://indexventures.co,https://indexventures.co/apply,apply@indexventures.co,other,"Seed,Series A","Fintech,Climate tech,Deep tech","EMEA,Global",standard,6-10,"legal_documents,video",Generated sample data for testing
Founders Fund,https://foundersfund.io,https://foundersfund.io/apply,apply@foundersfund.io,form,"Seed,Series B","Climate tech,Healthtech,Deep tech","Global,Asia",comprehensive,6-10,"financial_projections,pitch_deck",
GV (Google Ventures),https://gvgoogleventures.vc,https://gvgoogleventures.vc/apply,,form,"Seed,Pre-seed","B2B SaaS,AI/ML,Marketplace","Europe,Asia",simple,6-10,"legal_documents,financial_projections",
Intel Capital,https://intelcapital.io,https://intelcapital.io/apply,apply@intelcapital.io,form,"Seed,Series A","Developer tools,Gaming,B2B SaaS","North America,Europe",standard,21+,"business_plan,video",Generated sample data for testing
Salesforce Ventures,https://salesforceventures.com,https://salesforceventures.com/apply,,email,"Seed,Series C","Gaming,B2B SaaS,AI/ML","Europe,North America",simple,21+,"traction_data,legal_documents",Generated sample data for testing
Insight Partners,https://insightpartners.capital,https://insightpartners.capital/apply,,email,"Pre-seed,Series B","Developer tools,Consumer,Deep tech","North America,Europe",simple,11-20,"video,pitch_deck",
Tiger Global Management,https://tigerglobalmanagemen.vc,https://tigerglobalmanagemen.vc/apply,apply@tigerglobalmanagemen.vc,email,"Pre-seed,Seed","B2B SaaS,E-commerce,Climate tech","North America,Global",comprehensive,6-10,"traction_data,video",Generated sample data for testing
Coatue Management,https://coatuemanagement.io,https://coatuemanagement.io/apply,,form,"Series A,Pre-seed","AI/ML,B2B SaaS,Developer tools","EMEA,Europe",comprehensive,11-20,"video,pitch_deck",
DST Global,https://dstglobal.co,https://dstglobal.co/apply,apply@dstglobal.co,other,"Series B,Series A","Climate tech,B2B SaaS,Web3","North America,Asia",simple,1-5,"pitch_deck,business_plan",
SoftBank Vision Fund,https://softbankvisionfund.capital,https://softbankvisionfund.capital/apply,apply@softbankvisionfund.capital,email,"Series B,Series A","E-commerce,Deep tech,Developer tools","Global,EMEA",simple,11-20,"business_plan,pitch_deck",Generated sample data for testing
Blackstone Growth,https://blackstonegrowth.co,https://blackstonegrowth.co/apply,,email,"Pre-seed,Seed","Web3,Healthtech,Developer tools","Europe,Global",standard,21+,"legal_documents,financial_projections",Generated sample data for testing
TPG Growth,https://tpggrowth.co,https://tpggrowth.co/apply,,form,"Pre-seed,Series B","Healthtech,Fintech,Climate tech","North America,Asia",simple,21+,"pitch_deck,legal_documents",
KKR & Co,https://kkrco.co,https://kkrco.co/apply,,email,"Series C,Series B","Climate tech,Gaming,B2B SaaS","Global,Europe",standard,21+,"pitch_deck,traction_data",
Warburg Pincus,https://warburgpincus.vc,https://warburgpincus.vc/apply,apply@warburgpincus.vc,email,"Series B,Seed","Developer tools,Deep tech,Marketplace","North America,Asia",simple,1-5,"business_plan,financial_projections",Generated sample data for testing
General Atlantic,https://generalatlantic.capital,https://generalatlantic.capital/apply,,form,"Seed,Pre-seed","B2B SaaS,E-commerce,Developer tools","North America,Europe",standard,1-5,"video,traction_data",
Silver Lake Partners,https://silverlakepartners.vc,https://silverlakepartners.vc/apply,apply@silverlakepartners.vc,email,"Series B,Seed","Web3,Healthtech,Gaming","Global,Europe",standard,21+,"video,pitch_deck",Generated sample data for testing
Vista Equity Partners,https://vistaequitypartners.com,https://vistaequitypartners.com/apply,apply@vistaequitypartners.com,other,"Series A,Seed","Gaming,B2B SaaS,AI/ML","EMEA,North America",simple,21+,"pitch_deck,video",
Thoma Bravo,https://thomabravo.vc,https://thomabravo.vc/apply,apply@thomabravo.vc,form,"Pre-seed,Series A","Climate tech,Consumer,Marketplace","North America,Europe",comprehensive,1-5,"video,pitch_deck",
Advent International,https://adventinternational.com,https://adventinternational.com/apply,,other,"Seed,Series B","B2B SaaS,Fintech,Climate tech","Asia,Global",standard,11-20,"financial_projections,video",Generated sample data for testing
Vista Equity Partners 2,https://vistaequitypartners2.co,https://vistaequitypartners2.co/apply,,form,"Pre-seed,Seed","Consumer,B2B SaaS,Developer tools","Europe,Global",standard,6-10,"legal_documents,video",Generated sample data for testing
Union Square Ventures 2,https://unionsquareventures2.io,https://unionsquareventures2.io/apply,apply@unionsquareventures2.io,form,"Seed,Series A","Healthtech,Marketplace,Climate tech","Europe,Global",simple,11-20,"video,pitch_deck",Generated sample data for testing
New Enterprise Associates 2,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,apply@newenterpriseassocia.io,email,"Series C,Seed","Marketplace,B2B SaaS,Deep tech","Global,Europe",comprehensive,1-5,"video,pitch_deck",Generated sample data for testing
TPG Growth 2,https://tpggrowth2.capital,https://tpggrowth2.capital/apply,apply@tpggrowth2.capital,other,"Pre-seed,Seed","Consumer,AI/ML,E-commerce","North America,Global",comprehensive,21+,"video,pitch_deck",
GV (Google Ventures) 2,https://gvgoogleventures2.com,https://gvgoogleventures2.com/apply,,email,"Series B,Seed","Deep tech,B2B SaaS,Consumer","Europe,North America",comprehensive,21+,"video,business_plan",Generated sample data for testing
Lightspeed Venture Partners 2,https://lightspeedventurepar.capital,https://lightspeedventurepar.capital/apply,apply@lightspeedventurepar.capital,form,"Series C,Seed","Deep tech,Fintech,AI/ML","North America,Europe",simple,6-10,"financial_projections,legal_documents",Generated sample data for testing
TPG Growth 3,https://tpggrowth3.io,https://tpggrowth3.io/apply,apply@tpggrowth3.io,email,"Series C,Series B","Fintech,Marketplace,Web3","EMEA,North America",simple,11-20,"legal_documents,video",
First Round Capital 2,https://firstroundcapital2.vc,https://firstroundcapital2.vc/apply,apply@firstroundcapital2.vc,form,"Series C,Series B","Marketplace,Healthtech,B2B SaaS","EMEA,Global",simple,1-5,"pitch_deck,legal_documents",Generated sample data for testing
Founders Fund 2,https://foundersfund2.io,https://foundersfund2.io/apply,apply@foundersfund2.io,other,"Series C,Pre-seed","Fintech,Marketplace,Climate tech","Europe,North America",standard,1-5,"traction_data,video",
Silver Lake Partners 2,https://silverlakepartners2.vc,https://silverlakepartners2.vc/apply,apply@silverlakepartners2.vc,email,"Pre-seed,Seed","E-commerce,Web3,AI/ML","EMEA,Europe",comprehensive,21+,"legal_documents,video",
Warburg Pincus 2,https://warburgpincus2.vc,https://warburgpincus2.vc/apply,,other,"Series C,Series B","Developer tools,Consumer,Web3","EMEA,Europe",comprehensive,21+,"business_plan,video",Generated sample data for testing
DST Global 2,https://dstglobal2.vc,https://dstglobal2.vc/apply,,email,"Pre-seed,Series B","Healthtech,B2B SaaS,AI/ML","Asia,Global",simple,11-20,"business_plan,traction_data",
New Enterprise Associates 3,https://newenterpriseassocia.vc,https://newenterpriseassocia.vc/apply,,other,"Pre-seed,Series B","E-commerce,AI/ML,Healthtech","Global,North America",comprehensive,6-10,"traction_data,business_plan",
Advent International 2,https://adventinternational2.capital,https://adventinternational2.capital/apply,,other,"Seed,Series C","B2B SaaS,Healthtech,Gaming","Europe,Global",simple,11-20,"financial_projections,pitch_deck",Generated sample data for testing
Founders Fund 3,https://foundersfund3.co,https://foundersfund3.co/apply,,form,"Seed,Pre-seed","Consumer,AI/ML,Healthtech","Global,Europe",standard,1-5,"traction_data,video",Generated sample data for testing
Bessemer Venture Partners 2,https://bessemerventurepartn.vc,https://bessemerventurepartn.vc/apply,,form,"Series B,Seed","Consumer,Gaming,Fintech","North America,Asia",comprehensive,6-10,"video,business_plan",Generated sample data for testing
Insight Partners 2,https://insightpartners2.vc,https://insightpartners2.vc/apply,,other,"Pre-seed,Series B","B2B SaaS,E-commerce,Deep tech","North America,Global",standard,6-10,"video,legal_documents",
Intel Capital 2,https://intelcapital2.co,https://intelcapital2.co/apply,apply@intelcapital2.co,other,"Series B,Series A","Climate tech,Gaming,B2B SaaS","North America,Europe",simple,1-5,"video,business_plan",Generated sample data for testing
GV (Google Ventures) 3,https://gvgoogleventures3.vc,https://gvgoogleventures3.vc/apply,apply@gvgoogleventures3.vc,form,"Series B,Series C","B2B SaaS,AI/ML,Healthtech","Global,North America",standard,6-10,"pitch_deck,financial_projections",
Lightspeed Venture Partners 3,https://lightspeedventurepar.com,https://lightspeedventurepar.com/apply,apply@lightspeedventurepar.com,form,"Seed,Pre-seed","B2B SaaS,Deep tech,Fintech","Asia,Europe",comprehensive,11-20,"traction_data,legal_documents",Generated sample data for testing
Benchmark Capital 2,https://benchmarkcapital2.com,https://benchmarkcapital2.com/apply,,email,"Seed,Series B","Climate tech,Fintech,Healthtech","Europe,EMEA",standard,6-10,"legal_documents,business_plan",
Andreessen Horowitz 2,https://andreessenhorowitz2.io,https://andreessenhorowitz2.io/apply,,other,"Pre-seed,Seed","Consumer,Developer tools,AI/ML","North America,Asia",comprehensive,1-5,"legal_documents,business_plan",
Andreessen Horowitz 3,https://andreessenhorowitz3.co,https://andreessenhorowitz3.co/apply,,other,"Pre-seed,Seed","Gaming,Healthtech,Climate tech","North America,Europe",simple,11-20,"business_plan,video",
Warburg Pincus 3,https://warburgpincus3.vc,https://warburgpincus3.vc/apply,apply@warburgpincus3.vc,email,"Series A,Series B","E-commerce,Fintech,Climate tech","Europe,EMEA",comprehensive,1-5,"video,traction_data",
Intel Capital 3,https://intelcapital3.vc,https://intelcapital3.vc/apply,,form,"Seed,Series B","AI/ML,Marketplace,Consumer","Europe,Global",simple,21+,"video,legal_documents",Generated sample data for testing
First Round Capital 3,https://firstroundcapital3.vc,https://firstroundcapital3.vc/apply,apply@firstroundcapital3.vc,other,"Seed,Pre-seed","AI/ML,B2B SaaS,Developer tools","North America,Asia",simple,6-10,"traction_data,business_plan",
Bessemer Venture Partners 3,https://bessemerventurepartn.capital,https://bessemerventurepartn.capital/apply,apply@bessemerventurepartn.capital,form,"Series B,Series A","Deep tech,B2B SaaS,Marketplace","Asia,Global",simple,1-5,"pitch_deck,video",
Lightspeed Venture Partners 4,https://lightspeedventurepar.vc,https://lightspeedventurepar.vc/apply,apply@lightspeedventurepar.vc,other,"Series B,Series A","Deep tech,AI/ML,Web3","Global,Europe",simple,11-20,"financial_projections,traction_data",Generated sample data for testing
Andreessen Horowitz 4,https://andreessenhorowitz4.co,https://andreessenhorowitz4.co/apply,,email,"Series B,Pre-seed","Healthtech,E-commerce,Web3","EMEA,Europe",simple,11-20,"business_plan,financial_projections",
Insight Partners 3,https://insightpartners3.io,https://insightpartners3.io/apply,apply@insightpartners3.io,form,"Series C,Series A","B2B SaaS,Marketplace,Healthtech","North America,Europe",simple,1-5,"video,traction_data",Generated sample data for testing
Accel Partners 2,https://accelpartners2.com,https://accelpartners2.com/apply,,other,"Seed,Series C","Developer tools,B2B SaaS,Consumer","Global,North America",standard,21+,"traction_data,financial_projections",
Vista Equity Partners 3,https://vistaequitypartners3.capital,https://vistaequitypartners3.capital/apply,,form,"Seed,Pre-seed","E-commerce,AI/ML,Web3","Europe,Global",simple,1-5,"video,pitch_deck",
SoftBank Vision Fund 3,https://softbankvisionfund3.io,https://softbankvisionfund3.io/apply,,other,"Seed,Pre-seed","AI/ML,Marketplace,B2B SaaS","North America,Europe",standard,1-5,"video,financial_projections",
New Enterprise Associates 4,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,,other,"Series C,Pre-seed","B2B SaaS,Fintech,Healthtech","North America,Europe",comprehensive,6-10,"business_plan,legal_documents",
Coatue Management 3,https://coatuemanagement3.io,https://coatuemanagement3.io/apply,,form,"Series B,Pre-seed","Consumer,Fintech,E-commerce","Global,North America",simple,21+,"video,legal_documents",
DST Global 3,https://dstglobal3.com,https://dstglobal3.com/apply,,other,"Pre-seed,Seed","Consumer,Fintech,AI/ML","North America,Asia",comprehensive,11-20,"video,pitch_deck",Generated sample data for testing
Kleiner Perkins 3,https://kleinerperkins3.capital,https://kleinerperkins3.capital/apply,apply@kleinerperkins3.capital,other,"Series A,Series B","Developer tools,Consumer,B2B SaaS","North America,Asia",standard,11-20,"pitch_deck,video",
KKR & Co 3,https://kkrco3.com,https://kkrco3.com/apply,,form,"Pre-seed,Seed","B2B SaaS,Web3,Gaming","North America,Global",comprehensive,21+,"pitch_deck,video",Generated sample data for testing
General Catalyst 3,https://generalcatalyst3.capital,https://generalcatalyst3.capital/apply,apply@generalcatalyst3.capital,form,"Series B,Pre-seed","B2B SaaS,Fintech,Gaming","Europe,North America",standard,6-10,"pitch_deck,video",Generated sample data for testing
Blackstone Growth 3,https://blackstonegrowth3.co,https://blackstonegrowth3.co/apply,apply@blackstonegrowth3.co,other,"Series B,Series A","E-commerce,B2B SaaS,AI/ML","North America,Asia",standard,6-10,"traction_data,video",
Kleiner Perkins 4,https://kleinerperkins4.com,https://kleinerperkins4.com/apply,,other,"Pre-seed,Seed","Deep tech,B2B SaaS,Climate tech","Europe,North America",simple,1-5,"video,pitch_deck",
Blackstone Growth 4,https://blackstonegrowth4.co,https://blackstonegrowth4.co/apply,,email,"Pre-seed,Seed","Climate tech,Web3,Developer tools","Global,EMEA",comprehensive,6-10,"video,financial_projections",
GV (Google Ventures) 4,https://gvgoogleventures4.io,https://gvgoogleventures4.io/apply,apply@gvgoogleventures4.io,other,"Series B,Seed","B2B SaaS,Healthtech,Marketplace","North America,Europe",comprehensive,1-5,"video,financial_projections",Generated sample data for testing
Index Ventures 3,https://indexventures3.vc,https://indexventures3.vc/apply,,email,"Series A,Series B","B2B SaaS,Fintech,Web3","Global,North America",comprehensive,1-5,"financial_projections,pitch_deck",Generated sample data for testing
Benchmark Capital 3,https://benchmarkcapital3.capital,https://benchmarkcapital3.capital/apply,,email,"Series B,Pre-seed","AI/ML,Developer tools,Marketplace","Europe,EMEA",comprehensive,21+,"financial_projections,business_plan",
General Atlantic 3,https://generalatlantic3.com,https://generalatlantic3.com/apply,apply@generalatlantic3.com,other,"Series A,Pre-seed","Deep tech,Gaming,B2B SaaS","Asia,Europe",comprehensive,21+,"business_plan,legal_documents",Generated sample data for testing
Accel Partners 3,https://accelpartners3.io,https://accelpartners3.io/apply,apply@accelpartners3.io,form,"Seed,Series A","B2B SaaS,AI/ML,Fintech","Asia,Global",standard,6-10,"legal_documents,financial_projections",Generated sample data for testing
Salesforce Ventures 3,https://salesforceventures3.co,https://salesforceventures3.co/apply,apply@salesforceventures3.co,email,"Pre-seed,Series B","Developer tools,Healthtech,Deep tech","Global,Asia",comprehensive,6-10,"financial_projections,business_plan",
Salesforce Ventures 4,https://salesforceventures4.com,https://salesforceventures4.com/apply,apply@salesforceventures4.com,email,"Seed,Pre-seed","Marketplace,Developer tools,B2B SaaS","North America,Asia",comprehensive,11-20,"business_plan,video",Generated sample data for testing
Silver Lake Partners 3,https://silverlakepartners3.capital,https://silverlakepartners3.capital/apply,apply@silverlakepartners3.capital,form,"Pre-seed,Series A","Web3,Deep tech,AI/ML","EMEA,Europe",standard,21+,"pitch_deck,business_plan",Generated sample data for testing
Silver Lake Partners 4,https://silverlakepartners4.co,https://silverlakepartners4.co/apply,,form,"Seed,Pre-seed","E-commerce,Consumer,AI/ML","North America,Europe",comprehensive,6-10,"legal_documents,pitch_deck",
Kleiner Perkins 5,https://kleinerperkins5.co,https://kleinerperkins5.co/apply,apply@kleinerperkins5.co,other,"Series C,Seed","B2B SaaS,E-commerce,Web3","Europe,North America",comprehensive,6-10,"business_plan,video",
Vista Equity Partners 4,https://vistaequitypartners4.co,https://vistaequitypartners4.co/apply,apply@vistaequitypartners4.co,email,"Seed,Series A","Consumer,Gaming,E-commerce","Europe,North America",comprehensive,6-10,"video,pitch_deck",
Tiger Global Management 3,https://tigerglobalmanagemen.vc,https://tigerglobalmanagemen.vc/apply,apply@tigerglobalmanagemen.vc,other,"Series A,Series C","Healthtech,Fintech,Consumer","Europe,North America",standard,6-10,"pitch_deck,traction_data",
Warburg Pincus 4,https://warburgpincus4.vc,https://warburgpincus4.vc/apply,,form,"Pre-seed,Seed","B2B SaaS,Developer tools,Marketplace","Europe,EMEA",comprehensive,11-20,"financial_projections,business_plan",
Thoma Bravo 3,https://thomabravo3.co,https://thomabravo3.co/apply,,email,"Series A,Pre-seed","B2B SaaS,Fintech,Marketplace","EMEA,North America",simple,1-5,"financial_projections,video",
Coatue Management 4,https://coatuemanagement4.io,https://coatuemanagement4.io/apply,apply@coatuemanagement4.io,other,"Pre-seed,Series B","AI/ML,Developer tools,E-commerce","Asia,North America",comprehensive,21+,"pitch_deck,business_plan",
