name,website,application_url,application_email,submission_type,stage_focus,industry_focus,region_focus,form_complexity,question_count_range,required_documents,notes
Sequoia Capital,https://sequoiacapital.capital,https://sequoiacapital.capital/apply,,form,"Pre-seed,Seed","E-commerce,Deep tech,AI/ML","Global,Europe",comprehensive,21+,"video,traction_data",
Andreessen Horowitz,https://andreessenhorowitz.co,https://andreessenhorowitz.co/apply,,form,"Pre-seed,Series B","Consumer,B2B SaaS,Fintech","EMEA,Global",standard,6-10,"financial_projections,pitch_deck",
Kleiner Perkins,https://kleinerperkins.com,https://kleinerperkins.com/apply,,other,"Seed,Series B","Climate tech,Gaming,Marketplace","Global,Asia",comprehensive,1-5,"video,traction_data",Generated sample data for testing
Accel Partners,https://accelpartners.capital,https://accelpartners.capital/apply,,other,"Series A,Pre-seed","B2B SaaS,Climate tech,Fintech","Global,Europe",standard,6-10,"pitch_deck,traction_data",Generated sample data for testing
Benchmark Capital,https://benchmarkcapital.co,https://benchmarkcapital.co/apply,,other,"Series B,Series C","Consumer,Fintech,Developer tools","Asia,Global",standard,6-10,"business_plan,video",Generated sample data for testing
Greylock Partners,https://greylockpartners.vc,https://greylockpartners.vc/apply,apply@greylockpartners.vc,email,"Series B,Series C","AI/ML,B2B SaaS,Consumer","Europe,Global",standard,11-20,"pitch_deck,video",
First Round Capital,https://firstroundcapital.vc,https://firstroundcapital.vc/apply,,other,"Series B,Seed","Marketplace,B2B SaaS,Fintech","Global,Europe",comprehensive,21+,"business_plan,video",
Union Square Ventures,https://unionsquareventures.vc,https://unionsquareventures.vc/apply,apply@unionsquareventures.vc,form,"Series C,Seed","B2B SaaS,E-commerce,Developer tools","Asia,EMEA",standard,21+,"pitch_deck,traction_data",
Bessemer Venture Partners,https://bessemerventurepartn.co,https://bessemerventurepartn.co/apply,,form,"Pre-seed,Seed","Climate tech,B2B SaaS,Fintech","Global,EMEA",standard,21+,"traction_data,video",
New Enterprise Associates,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,apply@newenterpriseassocia.io,other,"Seed,Series C","Consumer,Climate tech,E-commerce","North America,Europe",simple,11-20,"traction_data,video",Generated sample data for testing
General Catalyst,https://generalcatalyst.vc,https://generalcatalyst.vc/apply,apply@generalcatalyst.vc,form,"Series C,Series B","E-commerce,Healthtech,Deep tech","Asia,Europe",standard,1-5,"financial_projections,traction_data",Generated sample data for testing
Lightspeed Venture Partners,https://lightspeedventurepar.vc,https://lightspeedventurepar.vc/apply,,email,"Series B,Pre-seed","B2B SaaS,Fintech,Marketplace","Global,Europe",comprehensive,21+,"video,pitch_deck",Generated sample data for testing
Index Ventures,https://indexventures.io,https://indexventures.io/apply,apply@indexventures.io,other,"Pre-seed,Seed","Gaming,Climate tech,B2B SaaS","Global,EMEA",simple,11-20,"pitch_deck,video",Generated sample data for testing
Founders Fund,https://foundersfund.vc,https://foundersfund.vc/apply,apply@foundersfund.vc,other,"Series B,Series A","B2B SaaS,Fintech,Marketplace","Global,North America",standard,21+,"traction_data,pitch_deck",
GV (Google Ventures),https://gvgoogleventures.co,https://gvgoogleventures.co/apply,apply@gvgoogleventures.co,form,"Series A,Series B","Developer tools,Fintech,Deep tech","EMEA,Asia",comprehensive,1-5,"business_plan,video",
Intel Capital,https://intelcapital.io,https://intelcapital.io/apply,,email,"Series A,Series C","Gaming,Deep tech,Developer tools","Europe,Global",comprehensive,1-5,"pitch_deck,financial_projections",Generated sample data for testing
Salesforce Ventures,https://salesforceventures.capital,https://salesforceventures.capital/apply,,other,"Pre-seed,Series B","Gaming,Fintech,B2B SaaS","Europe,Global",standard,1-5,"business_plan,video",
Insight Partners,https://insightpartners.com,https://insightpartners.com/apply,apply@insightpartners.com,form,"Pre-seed,Series A","B2B SaaS,Gaming,E-commerce","Global,Asia",simple,21+,"financial_projections,video",
Tiger Global Management,https://tigerglobalmanagemen.capital,https://tigerglobalmanagemen.capital/apply,apply@tigerglobalmanagemen.capital,other,"Series A,Pre-seed","Fintech,B2B SaaS,AI/ML","North America,Asia",simple,6-10,"business_plan,traction_data",Generated sample data for testing
Coatue Management,https://coatuemanagement.capital,https://coatuemanagement.capital/apply,apply@coatuemanagement.capital,email,"Series A,Pre-seed","B2B SaaS,Deep tech,Fintech","Global,EMEA",comprehensive,1-5,"video,pitch_deck",
DST Global,https://dstglobal.vc,https://dstglobal.vc/apply,,other,"Seed,Pre-seed","Developer tools,B2B SaaS,AI/ML","North America,EMEA",simple,1-5,"pitch_deck,video",Generated sample data for testing
SoftBank Vision Fund,https://softbankvisionfund.com,https://softbankvisionfund.com/apply,apply@softbankvisionfund.com,other,"Pre-seed,Seed","Climate tech,B2B SaaS,Fintech","North America,Global",simple,11-20,"pitch_deck,financial_projections",Generated sample data for testing
Blackstone Growth,https://blackstonegrowth.com,https://blackstonegrowth.com/apply,apply@blackstonegrowth.com,other,"Seed,Pre-seed","Marketplace,Developer tools,B2B SaaS","North America,Europe",standard,1-5,"video,pitch_deck",
